date,province,positive
2020-04-04,Gauteng,780
2020-04-04,KwaZulu-Natal,299
2020-04-04,Eastern Cape,37
2020-04-04,Unknown,5
2020-04-04,Free State,80
2020-04-04,North West,18
2020-04-04,Mpumalanga,24
2020-04-04,Limpopo,18
2020-04-04,Northern Cape,7
2020-04-05,Western Cape,470
2020-04-05,Gauteng,791
2020-04-05,KwaZulu-Natal,311
2020-04-05,Eastern Cape,38
2020-04-05,Unknown,5
2020-04-05,Free State,82
2020-04-05,North West,19
2020-04-05,Mpumalanga,24
2020-04-05,Limpopo,18
2020-04-05,Northern Cape,9
2020-04-06,Western Cape,478
2020-04-06,Gauteng,801
2020-04-06,KwaZulu-Natal,337
2020-04-06,Eastern Cape,40
2020-04-06,Unknown,5
2020-04-06,Free State,85
2020-04-06,North West,19
2020-04-06,Mpumalanga,24
2020-04-06,Limpopo,18
2020-04-06,Northern Cape,9
2020-04-07,Western Cape,501
2020-04-07,Gauteng,823
2020-04-07,KwaZulu-Natal,371
2020-04-07,Eastern Cape,44
2020-04-07,Unknown,7
2020-04-07,Free State,85
2020-04-07,North West,22
2020-04-07,Mpumalanga,24
2020-04-07,Limpopo,19
2020-04-07,Northern Cape,9
2020-04-08,Western Cape,516
2020-04-08,Gauteng,860
2020-04-08,KwaZulu-Natal,413
2020-04-08,Eastern Cape,62
2020-04-08,Unknown,10
2020-04-08,Free State,86
2020-04-08,North West,24
2020-04-08,Mpumalanga,26
2020-04-08,Limpopo,20
2020-04-08,Northern Cape,9
2020-04-09,Western Cape,532
2020-04-09,Gauteng,878
2020-04-09,KwaZulu-Natal,447
2020-04-09,Eastern Cape,73
2020-04-09,Unknown,11
2020-04-09,Free State,91
2020-04-09,North West,26
2020-04-09,Mpumalanga,26
2020-04-09,Limpopo,20
2020-04-09,Northern Cape,10
2020-04-10,Western Cape,553
2020-04-10,Gauteng,894
2020-04-10,KwaZulu-Natal,456
2020-04-10,Eastern Cape,77
2020-04-10,Unknown,11
2020-04-10,Free State,93
2020-04-10,North West,27
2020-04-10,Mpumalanga,27
2020-04-10,Limpopo,21
2020-04-10,Northern Cape,10
2020-04-11,Western Cape,574
2020-04-11,Gauteng,914
2020-04-11,KwaZulu-Natal,477
2020-04-11,Eastern Cape,94
2020-04-11,Unknown,11
2020-04-11,Free State,94
2020-04-11,North West,27
2020-04-11,Mpumalanga,27
2020-04-11,Limpopo,21
2020-04-11,Northern Cape,10
2020-04-12,Western Cape,609
2020-04-12,Gauteng,933
2020-04-12,KwaZulu-Natal,489
2020-04-12,Eastern Cape,112
2020-04-12,Unknown,11
2020-04-12,Free State,95
2020-04-12,North West,31
2020-04-12,Mpumalanga,27
2020-04-12,Limpopo,21
2020-04-12,Northern Cape,10
2020-04-13,Western Cape,642
2020-04-13,Gauteng,947
2020-04-13,KwaZulu-Natal,524
2020-04-13,Eastern Cape,126
2020-04-13,Unknown,11
2020-04-13,Free State,96
2020-04-13,North West,31
2020-04-13,Mpumalanga,28
2020-04-13,Limpopo,22
2020-04-13,Northern Cape,10
2020-04-14,Western Cape,670
2020-04-14,Gauteng,967
2020-04-14,KwaZulu-Natal,546
2020-04-14,Eastern Cape,202
2020-04-14,Unknown,11
2020-04-14,Free State,96
2020-04-14,North West,32
2020-04-14,Mpumalanga,28
2020-04-14,Limpopo,23
2020-04-14,Northern Cape,10
2020-04-15,Western Cape,693
2020-04-15,Gauteng,997
2020-04-15,KwaZulu-Natal,573
2020-04-15,Eastern Cape,222
2020-04-15,Unknown,12
2020-04-15,Free State,98
2020-04-15,North West,33
2020-04-15,Mpumalanga,28
2020-04-15,Limpopo,24
2020-04-15,Northern Cape,10
2020-04-16,Western Cape,732
2020-04-16,Gauteng,1059
2020-04-16,KwaZulu-Natal,605
2020-04-16,Eastern Cape,249
2020-04-16,Unknown,12
